Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086261,2020,01,01,31.6
IDCJAC0016,086261,2020,01,02,31.4
IDCJAC0016,086261,2020,01,03,30.1
IDCJAC0016,086261,2020,01,04,20.2
IDCJAC0016,086261,2020,01,05,5.5
IDCJAC0016,086261,2020,01,06,2.6
IDCJAC0016,086261,2020,01,07,5.2
IDCJAC0016,086261,2020,01,08,21.4
IDCJAC0016,086261,2020,01,09,29.3
IDCJAC0016,086261,2020,01,10,12.6
IDCJAC0016,086261,2020,01,11,16.8
IDCJAC0016,086261,2020,01,12,21.4
IDCJAC0016,086261,2020,01,13,27.0
IDCJAC0016,086261,2020,01,14,27.6
IDCJAC0016,086261,2020,01,15,22.2
IDCJAC0016,086261,2020,01,16,9.1
IDCJAC0016,086261,2020,01,17,26.1
IDCJAC0016,086261,2020,01,18,26.1
IDCJAC0016,086261,2020,01,19,17.7
IDCJAC0016,086261,2020,01,20,7.1
IDCJAC0016,086261,2020,01,21,24.0
IDCJAC0016,086261,2020,01,22,13.2
IDCJAC0016,086261,2020,01,23,11.2
IDCJAC0016,086261,2020,01,24,22.6
IDCJAC0016,086261,2020,01,25,29.9
IDCJAC0016,086261,2020,01,26,21.4
IDCJAC0016,086261,2020,01,27,24.9
IDCJAC0016,086261,2020,01,28,27.2
IDCJAC0016,086261,2020,01,29,29.3
IDCJAC0016,086261,2020,01,30,29.3
IDCJAC0016,086261,2020,01,31,22.7
IDCJAC0016,086261,2020,02,01,5.9
IDCJAC0016,086261,2020,02,02,19.8
IDCJAC0016,086261,2020,02,03,20.0
IDCJAC0016,086261,2020,02,04,28.5
IDCJAC0016,086261,2020,02,05,23.0
IDCJAC0016,086261,2020,02,06,27.3
IDCJAC0016,086261,2020,02,07,22.9
IDCJAC0016,086261,2020,02,08,26.9
IDCJAC0016,086261,2020,02,09,18.1
IDCJAC0016,086261,2020,02,10,11.7
IDCJAC0016,086261,2020,02,11,14.9
